,title,link,salary
0,"
    Data Scientist
   ","https://www.glassdoor.com/job-listing/data-scientist-lutron-electronics-co-inc-JV_IC1139761_KO0,14_KE15,40.htm?jl=1009799969772","
    $97K - $142K
    "
1,"
    Data Scientist
   ","https://www.glassdoor.com/job-listing/data-scientist-sysco-JV_IC1140171_KO0,14_KE15,20.htm?jl=1009762988282","
    $84K - $126K
    "
2,"
    Internal Audit - Data Science Senior Associate
   ","https://www.glassdoor.com/job-listing/internal-audit-data-science-senior-associate-fannie-mae-JV_IC1139247_KO0,44_KE45,55.htm?jl=1009744170858","
    $94K - $122K
    "
3,"
    Data science AI/ML Architect
   ","https://www.glassdoor.com/job-listing/data-science-ai-ml-architect-infosys-JV_IC1140053_KO0,28_KE29,36.htm?jl=1009801007397",None
4,"
    Senior Data Analyst
   ","https://www.glassdoor.com/job-listing/senior-data-analyst-via-metropolitan-transit-JV_IC1140494_KO0,19_KE20,44.htm?jl=1009790268597","
    $77K - $113K
    "
5,"
    Data Engineer I
   ","https://www.glassdoor.com/job-listing/data-engineer-i-appfolio-JV_IC1139977_KO0,15_KE16,24.htm?jl=1009801251539","
    $94K - $118K
    "
6,"
    Drilling Analyst
   ","https://www.glassdoor.com/job-listing/drilling-analyst-patterson-uti-JV_IC1140171_KO0,16_KE17,30.htm?jl=1009688211277","
    $55K - $93K
    "
7,"
    Data Analyst
   ","https://www.glassdoor.com/job-listing/data-analyst-zynga-JV_IC1139761_KO0,12_KE13,18.htm?jl=1009765531798","
    $67K - $107K
    "
8,"
    Sr. Decision Scientist
   ","https://www.glassdoor.com/job-listing/sr-decision-scientist-electronic-arts-JV_IC1139761_KO0,21_KE22,37.htm?jl=1009789927790",None
9,"
    VP, Data Science - Model Development
   ","https://www.glassdoor.com/job-listing/vp-data-science-model-development-synchrony-JV_IC1139977_KO0,33_KE34,43.htm?jl=1009800859137","
    $150K - $250K
    "
10,"
    Data Engineer
   ","https://www.glassdoor.com/job-listing/data-engineer-cvs-health-JV_IC1140006_KO0,13_KE14,24.htm?jl=1009783616080","
    $72K - $144K
    "
11,"
    Data Engineer
   ","https://www.glassdoor.com/job-listing/data-engineer-spawglass-JV_IC1140171_KO0,13_KE14,23.htm?jl=1009792365574",None
12,"
    Data Engineer, Regulatory (Starlink)
   ","https://www.glassdoor.com/job-listing/data-engineer-regulatory-starlink-spacex-JV_IC1139762_KO0,33_KE34,40.htm?jl=1009753634216","
    $98K - $152K
    "
